task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,Bwari,303992.6183413507,307122.8194509093,240801.13999229824,363173.7942459768,737213.59461
pw,Nigeria,Ifelodun,302715.35402729886,306976.4022693666,244354.4351186575,380004.9892710198,432040.83539200004
pw,Nigeria,Kiru,299858.39763240755,299665.0845193505,257218.5886760949,338274.64521425357,391679.87587499997
pw,Nigeria,Kankara,298351.79242317786,301611.4814012518,254044.31136627521,349304.5289268786,358408.124229
pw,Nigeria,Gwagwalada,298115.65649314167,290731.54286274326,186476.31536909216,424302.7066696167,504279.67598400003
pw,Nigeria,Kwande,297492.48586829565,303630.61236748385,254185.70427333057,344519.0322546849,354019.039407
pw,Nigeria,Okene,297201.6132759956,302531.43336795847,45200.15145326928,742391.653352232,479668.32688400004
pw,Nigeria,Kachia,296660.2353129682,301095.48848705704,262264.25114602863,341613.43013422214,365528.420949
pw,Nigeria,Sumaila,296258.0023666629,300104.0298761146,261246.66487472953,342066.42637539783,371622.689019
pw,Nigeria,Fune,295088.1629826791,297448.11320520256,259320.2814703198,336135.9572389873,453498.01312200003
pw,Nigeria,Gboko,291929.0530682881,302060.2891074416,224572.08557582437,370959.5336186783,523648.683117
pw,Nigeria,Jema'a,291869.9447001818,292376.40102109086,238742.43080959393,348340.8603826225,376588.127207
pw,Nigeria,Ikpoba-Okha,291753.2753883432,284438.8984565634,220097.61367931604,366482.94891327363,583687.164124
pw,Nigeria,Shiroro,291518.2266421374,297687.1158839172,261758.62818696946,325785.1749152333,351172.944102
pw,Nigeria,Yamaltu/Deba,287066.5886706926,286104.39997647685,229844.65157403922,356557.79466327006,393611.81613500003
pw,Nigeria,JosNorth,285152.1149587802,280422.6489297573,217606.7563922383,364846.67370407825,606160.762695
pw,Nigeria,Bungudu,284392.26903694915,286710.03477561614,247958.91730617284,328201.3741792161,378116.949282
pw,Nigeria,Tsafe,283561.7745037325,285419.76991538965,242459.24936706666,333088.9091996116,376681.194874
pw,Nigeria,IjebuNorth,283291.1847147515,278668.2279528313,148000.21715911748,439146.17886796675,416259.29574499995
pw,Nigeria,VandeIkya,283153.69337227056,289552.74188272154,243296.00876505242,324051.74642475805,349838.168565
pw,Nigeria,Bama,282613.41935207474,284488.1506884618,205755.4224395587,390319.7437159874,360509.086536
pw,Nigeria,Gwaram,280087.27315168147,280753.9108574607,241876.9029890048,319058.10724911024,376733.687451
pw,Nigeria,Jakusko,277950.75467986276,278729.3854746241,222689.61596094765,349905.3493273933,362789.09996200004
pw,Nigeria,Katsina-Ala,277080.8366551294,284753.5495032095,251204.27825597994,305062.28172164893,334894.58276799996
